handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
KX80NU71,Product,Buderim Ginger Glace 125g,,https://cdn1.woolworths.media/content/wowproductimages/medium/164508.jpg,Pantry;Baking,,,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB69FC93,Product,Buderim Ginger Naked 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/237825.jpg,Pantry;Baking,,,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE48XE43,Product,Cadbury Baking Chocolate Chips White 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/490219.jpg,Pantry;Baking,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL39EL95,Product,Cadbury Baking Dark Chocolate 70% Cacao 180g,,https://cdn1.woolworths.media/content/wowproductimages/medium/813878.jpg,Pantry;Baking,,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX99QZ42,Product,Cadbury Baking Dark Chocolate Block 180g,,https://cdn1.woolworths.media/content/wowproductimages/medium/813868.jpg,Pantry;Baking,,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO80TB76,Product,Cadbury Baking Dark Chocolate Chips 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/828994.jpg,Pantry;Baking,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XN43VA62,Product,Cadbury Baking Dark Chocolate Melts 225g,,https://cdn1.woolworths.media/content/wowproductimages/medium/829009.jpg,Pantry;Baking,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OS21BH49,Product,Cadbury Baking Milk Chocolate Block 180g,,https://cdn1.woolworths.media/content/wowproductimages/medium/813865.jpg,Pantry;Baking,,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GX23TH96,Product,Cadbury Baking Milk Chocolate Chips 200g,,https://cdn1.woolworths.media/content/wowproductimages/medium/829004.jpg,Pantry;Baking,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS90DB39,Product,Cadbury Baking Milk Chocolate Melts 225g,,https://cdn1.woolworths.media/content/wowproductimages/medium/829005.jpg,Pantry;Baking,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF80OD14,Product,Cadbury Baking White Chocolate 180g,,https://cdn1.woolworths.media/content/wowproductimages/medium/813880.jpg,Pantry;Baking,,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM46EI65,Product,Cadbury Baking White Chocolate Melts 225g,,https://cdn1.woolworths.media/content/wowproductimages/medium/829006.jpg,Pantry;Baking,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QX35WP85,Product,Cadbury Bournville Cocoa 250g,,https://cdn1.woolworths.media/content/wowproductimages/medium/267413.jpg,Pantry;Baking,,,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD14QT50,Product,Cottee's Instant Pudding Vanilla 100g,,https://cdn1.woolworths.media/content/wowproductimages/medium/137364.jpg,Pantry;Baking,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UE23NP58,Product,Creative Kitchen Fondant Multipack Fondant Multipack 500g,,https://cdn1.woolworths.media/content/wowproductimages/medium/785164.jpg,Pantry;Baking,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG26GU26,Product,Creative Kitchen Gold Delight 4 Compartment Jar,,https://cdn1.woolworths.media/content/wowproductimages/medium/828689.jpg,Pantry;Baking,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG41EF33,Product,Creative Kitchen Marzipan 250g,,https://cdn1.woolworths.media/content/wowproductimages/medium/490830.jpg,Pantry;Baking,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QL12RC21,Product,Creative Kitchen Mini Flowers Cake Decorations 48 pack,,https://cdn1.woolworths.media/content/wowproductimages/medium/828736.jpg,Pantry;Baking,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI99ZP42,Product,Creative Kitchen Mini Lady Birds Cake Decorations 32pk,,https://cdn1.woolworths.media/content/wowproductimages/medium/828676.jpg,Pantry;Baking,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO41ZL79,Product,Csr All Natural Buttercream Icing Mix Chocolate 250g,,https://cdn1.woolworths.media/content/wowproductimages/medium/699576.jpg,Pantry;Baking,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF76KF73,Product,Csr All Natural Buttercream Icing Mix Strawberry Flavour 250g,,https://cdn1.woolworths.media/content/wowproductimages/medium/699578.jpg,Pantry;Baking,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
